,Time,xPosition0,yPosition0,xVelocity0,yVelocity0,xPosition1,yPosition1,xVelocity1,yVelocity1,xPosition2,yPosition2,xVelocity2,yVelocity2,KineticEnergy,Potential,Energy
29,0.58,0.0,2.0,0.0,0.0,1.48102754,0.65553887,-2.82293669,-3.11016004,3.45945993,0.36178952,-3.18327434,-5.53868981,29.22619367,29.57378848,58.79998214
30,0.6,0.0,2.0,0.0,0.0,1.42323804,0.59449769,-2.95349418,-2.9912377,3.39337422,0.24943602,-3.42682156,-5.69532567,30.92523566,27.87474527,58.79998094
31,0.62,0.0,2.0,0.0,0.0,1.36299551,0.53599473,-3.06782397,-2.85658484,3.32232096,0.13403487,-3.68022025,-5.8431896,32.62925335,26.17072633,58.79997968
32,0.64,0.0,2.0,0.0,0.0,1.30064956,0.48032738,-3.16344351,-2.70791637,3.24609286,0.01577807,-3.94455817,-5.98056467,34.3334394,24.46653896,58.79997836
33,0.66,0.0,2.0,0.0,0.0,1.23659805,0.42775762,-3.23799483,-2.54718566,3.16445838,-0.10510452,-4.22105865,-6.10539466,36.03297266,22.76700427,58.79997693
34,0.68,0.0,2.0,0.0,0.0,1.17128429,0.37850636,-3.28931533,-2.3765094,3.07716044,-0.22833788,-4.51107664,-6.21520464,37.72298671,21.07698865,58.79997537
35,0.7,0.0,2.0,0.0,0.0,1.10519269,0.33274839,-3.31548575,-2.19825935,2.9839159,-0.35359318,-4.81594986,-6.30705074,39.39852604,19.40144757,58.79997361
36,0.72,0.0,2.0,0.0,0.0,1.0388427,0.29060856,-3.31492719,-2.015084,2.88441579,-0.48047763,-5.13688318,-6.37746958,41.05449645,17.74547514,58.79997159
37,0.74,0.0,2.0,0.0,0.0,0.97278102,0.25215865,-3.28650658,-1.82975213,2.7783271,-0.60852268,-5.47496042,-6.42237244,42.6855889,16.11438033,58.79996923
38,0.76,0.0,2.0,0.0,0.0,0.9075718,0.21741468,-3.22963685,-1.64502491,2.66529705,-0.7371708,-5.83109035,-6.43692817,44.28616004,14.5138064,58.79996643
39,0.78,0.0,2.0,0.0,0.0,0.84378439,0.18633575,-3.14440167,-1.46369211,2.54495938,-0.86576049,-6.20578401,-6.41550893,45.85008325,12.94987983,58.79996308
40,0.8,0.0,2.0,0.0,0.0,0.78197846,0.15882544,-3.03171586,-1.28855635,2.41694297,-0.99350929,-6.59894367,-6.35164826,47.37058588,11.42937316,58.79995903
41,0.82,0.0,2.0,0.0,0.0,0.72268567,0.13473445,-2.89351236,-1.12220743,2.28088454,-1.11949542,-7.0097424,-6.2379369,48.84005433,9.95989982,58.79995414
42,0.84,0.0,2.0,0.0,0.0,0.66638694,0.11386407,-2.7329711,-0.96690437,2.13644748,-1.24263941,-7.43634675,-6.06599566,50.24979571,8.55015254,58.79994825
