,Time,xPosition0,yPosition0,xVelocity0,yVelocity0,xPosition1,yPosition1,xVelocity1,yVelocity1,xPosition2,yPosition2,xVelocity2,yVelocity2,xPosition3,yPosition3,xVelocity3,yVelocity3,xPosition4,yPosition4,xVelocity4,yVelocity4,xPosition5,yPosition5,xVelocity5,yVelocity5,xPosition6,yPosition6,xVelocity6,yVelocity6,xPosition7,yPosition7,xVelocity7,yVelocity7,KineticEnergy,Potential,Energy
12,0.24,0.0,4.0,0.0,0.0,0.97048117,3.74249165,-0.45495888,-1.78451864,1.9738253,3.72369395,-0.44709673,-2.26629681,2.97684623,3.72332464,-0.43106634,-2.28291766,3.97932338,3.72332173,-0.41671714,-2.2831063,4.98121781,3.72332172,-0.40489116,-2.28310721,5.9824987,3.72332172,-0.39640756,-2.28310721,6.98314457,3.72332172,-0.39196934,-2.28310721,17.81185058,295.06049319,312.87234377
13,0.26,0.0,4.0,0.0,0.0,0.96061366,3.70700826,-0.53051205,-1.75872153,1.96390358,3.67668769,-0.54535923,-2.43324559,2.96714351,3.67583231,-0.53992792,-2.46670047,3.96981929,3.67582256,-0.53485234,-2.46725006,4.97187835,3.67582251,-0.53062614,-2.46725393,5.9732775,3.67582251,-0.52760806,-2.46725394,6.97398545,3.67582251,-0.52603838,-2.46725394,20.7204226,291.9601871,312.6806097
14,0.28,0.0,4.0,0.0,0.0,0.94932713,3.67232134,-0.59658971,-1.70754155,1.95201594,3.62644956,-0.64337224,-2.5892275,2.95524479,3.62467801,-0.64989001,-2.64911882,3.95791384,3.62465022,-0.65567408,-2.65046897,4.95996817,3.62465001,-0.66040085,-2.65048206,5.9613636,3.62465001,-0.66377533,-2.65048212,6.96206913,3.62465001,-0.66554117,-2.65048212,23.83978214,288.61900586,312.45878801
15,0.3,0.0,4.0,0.0,0.0,0.9368171,3.63876924,-0.65314665,-1.64817768,1.93817926,3.57321048,-0.7403155,-2.73341069,2.94117112,3.56989156,-0.75689241,-2.82992197,3.94362704,3.56982322,-0.77182959,-2.83276015,4.94550556,3.56982255,-0.78420608,-2.83279612,5.9467765,3.56982255,-0.79297696,-2.83279634,6.94741784,3.56982255,-0.79750146,-2.83279634,27.1591455,285.04566473,312.20481023
16,0.32,0.0,4.0,0.0,0.0,0.92324937,3.60634995,-0.70296247,-1.59647613,1.92241097,3.51719774,-0.8366826,-2.86696666,2.92501088,3.5115073,-0.85824332,-3.00892266,3.92711524,3.51136017,-0.87746444,-3.01411871,4.92870161,3.51135838,-0.89350604,-3.01420053,5.92976356,3.51135837,-0.9050639,-3.01420114,6.930296,3.51135837,-0.91113295,-3.01420114,30.65567965,281.26110033,311.91677998
17,0.34,0.0,4.0,0.0,0.0,0.90872517,3.57480498,-0.74927496,-1.56142716,1.90471367,3.45860186,-0.93343477,-2.99209793,2.90688868,3.44956212,-0.95323505,-3.18605625,3.90861898,3.44927977,-0.9703141,-3.19454092,4.90989072,3.44927562,-0.98479209,-3.19469968,5.91072557,3.44927559,-0.99525953,-3.19470107,6.91113889,3.44927559,-1.00072675,-3.19470107,34.3048889,277.28815848,311.59304739
18,0.36,0.0,4.0,0.0,0.0,0.89329159,3.54379756,-0.79406422,-1.54152759,1.88506537,3.39757875,-1.03215621,-3.10956294,2.88691464,3.38409378,-1.04402347,-3.36125348,3.88837838,3.38360076,-1.05262935,-3.37402357,4.8894221,3.38359235,-1.06016343,-3.37429789,5.89009112,3.38359228,-1.06572326,-3.37430063,6.89041747,3.38359228,-1.0686863,-3.37430065,38.09057293,273.14159778,311.23217071
19,0.38,0.0,4.0,0.0,0.0,0.8769817,3.51312672,-0.83641882,-1.52518388,1.86340622,3.33430809,-1.13476735,-3.21581088,2.86513237,3.31514443,-1.13495102,-3.53406727,3.86654868,3.31434204,-1.13062079,-3.55255079,4.86754286,3.31432654,-1.12765443,-3.5529993,5.86817177,3.3143264,-1.12583408,-3.55300432,6.86847574,3.3143264,-1.12495365,-3.55300435,42.00384794,268.82897983,310.83282777
20,0.4,0.0,4.0,0.0,0.0,0.85988919,3.48288682,-0.87114479,-1.49549283,1.83965196,3.26909832,-1.24159261,-3.30144642,2.8414846,3.24277323,-1.23150726,-3.70315594,3.84312548,3.24152321,-1.21365442,-3.73006422,4.84429322,3.24149609,-1.19942014,-3.73080721,5.84503973,3.2414958,-1.18955934,-3.7308166,6.84540307,3.2414958,-1.18454424,-3.73081665,46.03325796,264.36053183,310.3937898
21,0.42,0.0,4.0,0.0,0.0,0.84224078,3.45351008,-0.89079477,-1.4366486,1.81373061,3.20249715,-1.35107299,-3.35240594,2.81581024,3.16707853,-1.33819565,-3.86590923,3.81791551,3.16516578,-1.31056947,-3.90642097,4.81945968,3.16511884,-1.28794759,-3.9077229,5.82047038,3.16511828,-1.27192658,-3.90774188,6.82096973,3.16511828,-1.26360333,-3.90774201,50.15986467,259.75411811,309.91398277
