,Time,xPosition0,yPosition0,xVelocity0,yVelocity0,xPosition1,yPosition1,xVelocity1,yVelocity1,xPosition2,yPosition2,xVelocity2,yVelocity2,xPosition3,yPosition3,xVelocity3,yVelocity3,xPosition4,yPosition4,xVelocity4,yVelocity4,xPosition5,yPosition5,xVelocity5,yVelocity5,xPosition6,yPosition6,xVelocity6,yVelocity6,xPosition7,yPosition7,xVelocity7,yVelocity7,xPosition8,yPosition8,xVelocity8,yVelocity8,xPosition9,yPosition9,xVelocity9,yVelocity9,xPosition10,yPosition10,xVelocity10,yVelocity10,KineticEnergy,Potential,Energy
10,0.2,-5.0,0.0,0.0,0.0,-4.0005237,-0.17773049,-0.01469963,-1.62144731,-3.00002034,-0.19227649,-0.00079173,-1.89751902,-2.00000045,-0.19276455,-2.216e-05,-1.91169037,-1.00000001,-0.19277334,-4.1e-07,-1.91203475,0.0,-0.19277344,0.0,-1.91203956,1.00000001,-0.19277334,4.1e-07,-1.91203475,2.00000045,-0.19276455,2.216e-05,-1.91169037,3.00002034,-0.19227649,0.00079173,-1.89751902,4.0005237,-0.17773049,0.01469963,-1.62144731,5.0,0.0,0.0,0.0,15.36827108,46.60290442,61.9711755
11,0.22,-5.0,0.0,0.0,0.0,-4.00089066,-0.21115596,-0.02238208,-1.71901993,-3.00004261,-0.23200464,-0.00149853,-2.07514568,-2.00000115,-0.23285198,-5.091e-05,-2.09736986,-1.00000002,-0.2328705,-1.13e-06,-2.09802597,0.0,-0.23287075,0.0,-2.09803707,1.00000002,-0.2328705,1.13e-06,-2.09802597,2.00000115,-0.23285198,5.091e-05,-2.09736986,3.00004261,-0.23200464,0.00149853,-2.07514568,4.00089066,-0.21115596,0.02238208,-1.71901993,5.0,0.0,0.0,0.0,18.2633154,43.54059351,61.80390891
12,0.24,-5.0,0.0,0.0,0.0,-4.00143501,-0.24638234,-0.03248848,-1.80150681,-3.00008333,-0.27524381,-0.00266747,-2.24853883,-2.00000268,-0.27664125,-0.00010828,-2.28190558,-1.00000006,-0.27667768,-2.86e-06,-2.28308283,0.0,-0.27667826,0.0,-2.28310656,1.00000006,-0.27667768,2.86e-06,-2.28308283,2.00000268,-0.27664125,0.00010828,-2.28190558,3.00008333,-0.27524381,0.00266747,-2.24853883,4.00143501,-0.24638234,0.03248848,-1.80150681,5.0,0.0,0.0,0.0,21.32826431,40.27860773,61.60687204
13,0.26,-5.0,0.0,0.0,0.0,-4.00220768,-0.28310536,-0.04524471,-1.86868012,-3.00015374,-0.32190161,-0.00450662,-2.41691421,-2.00000581,-0.32410853,-0.00021577,-2.46519671,-1.00000015,-0.32417619,-6.71e-06,-2.46720485,0.0,-0.32417746,0.0,-2.46725241,1.00000015,-0.32417619,6.71e-06,-2.46720485,2.00000581,-0.32410853,0.00021577,-2.46519671,3.00015374,-0.32190161,0.00450662,-2.41691421,4.00220768,-0.28310536,0.04524471,-1.86868012,5.0,0.0,0.0,0.0,24.54346897,36.83499077,61.37845974
14,0.28,-5.0,0.0,0.0,0.0,-4.00326289,-0.32101814,-0.06075035,-1.92051018,-3.00026976,-0.37186926,-0.00727767,-2.57941809,-2.00001186,-0.37522763,-0.00040656,-2.64710837,-1.00000035,-0.3753473,-1.47e-05,-2.65038853,0.0,-0.37534991,0.0,-2.65047873,1.00000035,-0.3753473,1.47e-05,-2.65038853,2.00001186,-0.37522763,0.00040656,-2.64710837,3.00026976,-0.37186926,0.00727767,-2.57941809,4.00326289,-0.32101814,0.06075035,-1.92051018,5.0,0.0,0.0,0.0,27.88976164,33.22749949,61.11726113
15,0.3,-5.0,0.0,0.0,0.0,-4.00465533,-0.35981527,-0.07894796,-1.95717383,-3.0004531,-0.42502034,-0.01129646,-2.73513803,-2.00002295,-0.4299693,-0.00072967,-2.82746578,-1.00000079,-0.43017219,-3.038e-05,-2.83262616,0.0,-0.43017727,0.0,-2.83278925,1.00000079,-0.43017219,3.038e-05,-2.83262616,2.00002295,-0.4299693,0.00072967,-2.82746578,3.0004531,-0.42502034,0.01129646,-2.73513803,4.00465533,-0.35981527,0.07894796,-1.95717383,5.0,0.0,0.0,0.0,31.34855152,29.47350279,60.82205432
16,0.32,-5.0,0.0,0.0,0.0,-4.00643679,-0.39919703,-0.09960181,-1.97906459,-3.00073228,-0.48120963,-0.01692913,-2.8831148,-2.00004238,-0.48830034,-0.00125478,-3.00604867,-1.00000166,-0.48863181,-5.962e-05,-3.01390427,0.0,-0.48864125,0.0,-3.01418704,1.00000166,-0.48863181,5.962e-05,-3.01390427,2.00004238,-0.48830034,0.00125478,-3.00604867,3.00073228,-0.48120963,0.01692913,-2.8831148,4.00643679,-0.39919703,0.09960181,-1.97906459,5.0,0.0,0.0,0.0,34.9018656,25.58993474,60.49180034
17,0.34,-5.0,0.0,0.0,0.0,-4.00865247,-0.43887381,-0.12228884,-1.98680287,-3.00114361,-0.54027243,-0.02458281,-3.0223552,-2.0000751,-0.55018263,-0.00207748,-3.18258593,-1.00000332,-0.55070677,-0.00011182,-3.19420175,0.0,-0.55072362,0.0,-3.19467424,1.00000332,-0.55070677,0.00011182,-3.19420175,2.0000751,-0.55018263,0.00207748,-3.18258593,3.00114361,-0.54027243,0.02458281,-3.0223552,4.00865247,-0.43887381,0.12228884,-1.98680287,5.0,0.0,0.0,0.0,38.5323296,21.59330745,60.12563705
18,0.36,-5.0,0.0,0.0,0.0,-4.01133726,-0.47857074,-0.14640375,-1.98124371,-3.00173179,-0.6020239,-0.0346903,-3.1518458,-2.00012828,-0.6155721,-0.00332474,-3.35675073,-1.00000638,-0.61637718,-0.0002014,-3.37348765,0.0,-0.61640619,0.0,-3.37425154,1.00000638,-0.61637718,0.0002014,-3.37348765,2.00012828,-0.6155721,0.00332474,-3.35675073,3.00173179,-0.6020239,0.0346903,-3.1518458,4.01133726,-0.47857074,0.14640375,-1.98124371,5.0,0.0,0.0,0.0,42.22308827,17.49978521,59.72287348
19,0.38,-5.0,0.0,0.0,0.0,-4.0145123,-0.51803244,-0.17117894,-1.9634796,-3.00255027,-0.6662589,-0.04768817,-3.27056802,-2.00021198,-0.68441754,-0.00516021,-3.52815612,-1.00001177,-0.6856224,-0.00034975,-3.55171855,0.0,-0.68567076,0.0,-3.55291761,1.00001177,-0.6856224,0.00034975,-3.55171855,2.00021198,-0.68441754,0.00516021,-3.52815612,3.00255027,-0.6662589,0.04768817,-3.27056802,4.0145123,-0.51803244,0.17117894,-1.9634796,5.0,0.0,0.0,0.0,45.95767247,13.32531272,59.28298519
